id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
1,TPE-IQ-2O,1,CCC[n+]6cc4ccc(/C(=C(c1ccc(OC)cc1)\c2ccc(OC)cc2)c3ccccc3)cc4c(c5ccccc5)c6c7ccccc7,yellow,725.31,430,530,620,NULL,NULL,0.006,0.131,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,cell staining,anticancer,NULL,NULL,NULL,NULL,NULL
2,DBA-AM,2,CCCCN(CCCC)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,orange,323.43,430,480,621,NULL,552,0.008,0.09,NULL,0.045,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,DMA-AM,3,CN(C)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,yellow,239.28,414,475,576,515,NULL,0.003,0.14,NULL,0.066,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,DEAH-AM,4,CCN(CC)c1ccc(/C=N/C(C#N)=C(N)/C#N)c(O)c1,red,283.33,440,476,651,504,560,0.008,0.147,NULL,0.004,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,TTE,5,c4csc(/C(=C(c1cccs1)/c2cccs2)c3cccs3)c4,yellow,356.5,368,NULL,413,410,444,NULL,0.026,NULL,NULL,NULL,NULL,0.47,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,TFE,6,c4coc(/C(=C(c1ccco1)/c2ccco2)c3ccco3)c4,yellow,292,387,NULL,499,489,532,NULL,0.11,NULL,NULL,NULL,NULL,1.58,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,SL-TTE,7,c5csc(c3c(c1cccs1)c2sccc2c4ccsc34)c5,white,354.5,323,489,NULL,380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,0,1,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,FL-TTE,8,c6cc5c1ccsc1c4c2sccc2c3ccsc3c4c5s6,white,352.5,299,381,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACQ,neutral aromatic,1,0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,FL-TFE,9,c6cc5c1ccoc1c4c2occc2c3ccoc3c4c5o6,white,288,274,361,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACQ,neutral aromatic,1,0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,DTE,10,C(=C\c1cccs1)/c2cccs2,white,NULL,322,402,442,402,438,0.15,NULL,NULL,NULL,0.85,NULL,NULL,NULL,ACQ,neutral aromatic,0,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,DFE,11,C(=C\c1ccco1)/c2ccco2,white,NULL,315,365,401,365,399,0.32,NULL,NULL,NULL,1.28,NULL,NULL,NULL,ACQ,neutral aromatic,0,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,HCA,12,CN(C)c2ccc(/C=C/C(=O)c1ccccc1O)cc2,red,267.13,430,680,680,640,640,NULL,0.185,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT+ICT/TICT,1,0,1,0,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,DPI-B,13,Cn4c(/C=C(c1ccccc1)/c2ccccc2)nc(c3ccccc3)c4c5ccccc5,NULL,412.19,350,470,475,NULL,NULL,NULL,0.253,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,DPI-A,14,Cn3c(/C=C(C#N)/c1ccccc1)nc(c2ccccc2)c3c4ccccc4,NULL,361.16,390,474,500,NULL,NULL,NULL,0.152,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,DPI-BP,15,Cn4c(/C=C(c1ccccc1)/c2cc[n+](C)cc2)nc(c3ccccc3)c4c5ccccc5,NULL,429.22,435,595,616,NULL,NULL,NULL,0.142,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,DPI-In,16,Cn4c(/C=C/C2=[N+](C)c1ccccc1C2(C)C)nc(c3ccccc3)c4c5ccccc5,NULL,418.23,492,614,642,NULL,NULL,NULL,0.049,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,TPE-IPB,17,CC7(C)OB(c6ccc(COc1ccccc1/C=N/c5ccc(/C(=C(c2ccccc2)/c3ccccc3)c4ccccc4)cc5)cc6)OC7(C)C,yellow,451.2,360,NULL,538,538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,TPE-Tetrazole-1,18,c5ccc(/C(=C(c1ccccc1)\c3ccc(c2nnn[nH]2)cc3)c4ccccc4)cc5,white,400.18,350,NULL,NULL,480,NULL,NULL,0.39,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,TPE-Tetrazole-2,19,c6ccc(/C(=C(c2ccc(c1nnn[nH]1)cc2)/c4ccc(c3nnn[nH]3)cc4)c5ccccc5)cc6,white,468.18,370,NULL,475,NULL,NULL,NULL,0.38,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,TPE-Tetrazole-4,20,c2cc(c1nnn[nH]1)ccc2/C(=C(c4ccc(c3nnn[nH]3)cc4)/c6ccc(c5nnn[nH]5)cc6)c8ccc(c7nnn[nH]7)cc8,white,604.26,370,NULL,484,NULL,NULL,NULL,0.78,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,ESIPT-N3,21,N#N=NCCOc4ccc(/C=N/N=c2c1ccccc1c3ccccc23)c(O)c4,yellow,383.41,450,NULL,550,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,1,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,CM-b,22,c8ccc(/C(=C(c1ccccc1)/c6ccc(c4nc(c2ccccc2)c(c3ccccc3)nc4c5ccccc5)cc6)c7ccccc7)cc8,white,638.8,350,481,481,NULL,NULL,NULL,0.542,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
