id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB,difficulty_level,original_level,source_split_file,source_row_index
1032.0,BTPE,C1(/C(C2=CC=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)\C6=CC=CC=C6)C=C3)C=C2)=C(C7=CC=CC=C7)\C8=CC=CC=C8)=CC=CC=C1,"Chem. Commun., 2010, 46, 686–688",662.0,,,AIE,ESIPT,10.1039/b915271g,success,2,2,2_level.csv,0
1624.0,Silole,C[Si]1(C)C(C2=CC=C(CN=[N+]=[N-])C=C2)=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=C1C5=CC=C(CN=[N+]=[N-])C=C5,"Liu, J., et al. Chem. Sci., 2012,3, 2737-2747",524.7,,,AIE,neutral aromatic,10.1039/c2sc20382k,success,2,2,2_level.csv,10
1625.0,TPE,O=C(C1=CC=CC=C1)C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=C(OCCCS(=O)([O-])=O)C=C4)/C5=CC=C(OCCCN=[N+]=[N-])C=C5)C=C2,"Gao, X., et al. Chem. Commun., 2019,55, 8321-8324",672.78,,,AIE,neutral aromatic,10.1039/C9CC03923F,success,2,2,2_level.csv,11
1626.0,"(2E,6E)-2,6-bis((7-(tert-butyl)pyren-1-yl)methylene)cyclohexan-1-one",CC(C)(C)C1=CC2=C3C(C=CC4=C(\C=C5/CCC\C(=C/C6=C7C=CC8=C9C(C=CC(C=C6)=C79)=CC(=C8)C(C)(C)C)C5=O)C=CC(C=C2)=C34)=C1,,634.86,,,AIE,TICT,10.1016/j.dyepig.2022.110123,success,2,2,2_level.csv,12
1627.0,"4-methoxy-6'-((4-methoxyphenyl)ethynyl)-3',4',5'-triphenyl-1,1':2',1''-terphenyl",COC1=CC=C(C=C1)C#CC1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C1C1=CC=C(OC)C=C1,,618.78,,,AIE,neutral aromatic,10.1016/j.jlumin.2021.118653,success,2,2,2_level.csv,13
1636.0,TPB,F[B-](N1C2=CC=C1)(F)[N+]3=CC=CC3=C2C(C=C4)=CC=C4C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)\C8=CC=CC=C8)C=C5,,598.238,,,AIE,TICT,10.1039/c2cc35188a,success,2,2,2_level.csv,15
1637.0,TPVB,F[B-](N1C2=CC=C1)(F)[N+]3=CC=CC3=C2C4=CC=C(/C=C/C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)\C8=CC=CC=C8)C=C5)C=C4,,,,,AIE,TICT,10.1039/c2cc35188a,success,2,2,2_level.csv,16
1639.0,TPEB,F[B-](N1C2=CC=C1)(F)[N+]3=CC=CC3=C2C4=CC=C(C#CC5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)\C8=CC=CC=C8)C=C5)C=C4,,,,,AIE,TICT,10.1039/c2cc35188a,success,2,2,2_level.csv,17
1711.0,TPE-BODIPY,F[B-]1(F)N2C(C(C(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)=C7[N+]1=C(C)C=C7)=CC=C2C,,550.46,,,AIE,TICT,10.1002/smll.201907074,success,2,2,2_level.csv,18
1721.0,DAMB-SA,C[C@@]12C(CCC3=C2C=C(Br)C(/N=C/C4=CC=CC=C4O)=C3)[C@](C)(C(OC)=O)CCC1,"Nat. Commun. 2021, 12, 1773",470.407,,,AIE,ESIPT,10.1038/s41467-021-22061-y,success,2,2,2_level.csv,19
1722.0,DAMB-SAB,C[C@@]12C(CCC3=C2C=C(Br)C(/N=C/C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4O)=C3)[C@](C)(C(OC)=O)CCC1,"Nat. Commun. 2021, 12, 1773",582.623,,,AIE,ESIPT,10.1038/s41467-021-22061-y,success,2,2,2_level.csv,20
1723.0,DAMB-SAN,C[C@@]12C(CCC3=C2C=C(Br)C(/N=C/C4=CC([N+]([O-])=O)=CC=C4O)=C3)[C@](C)(C(OC)=O)CCC1,"Nat. Commun. 2021, 12, 1773",515.404,,,AIE,ESIPT,10.1038/s41467-021-22061-y,success,2,2,2_level.csv,21
1743.0,TPAI,COc4ccc(N(c1ccccc1)c3ccc(/C=C/c2cc[n+](C)cc2)cc3)cc4,"Chem. Commun. 2022, ASAP. ",520.102,,,AIE,TICT,10.1039/D2CC02230C,success,2,2,2_level.csv,22
1773.0,c5-TPBQ,Cc5cc(c1ccccc1)c6c2ccccc2c(c3ccccc3)c7c4ccccc4c5[n+]67,"Chem.Sci.,2021,12,709-717",420.53,,,AIE,ICT,10.1039/D0SC04725B,success,2,2,2_level.csv,23
1775.0,TPE-3,O=C1C(OC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2)=C(OC3=CC=CC=C31)C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4,,658.0,,,AIE,ESIPT,10.1039/c6qm00223d,success,2,2,2_level.csv,24
1801.0,2TPAVDPP,C1=CC=CC=C1N(C2=CC=CC=C2)C8=CC=C(/C=C/C7=C6C(=C(/C=C/C5=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C5)N(CCCC)C6=O)C(=O)N7CCCC)C=C8,"ACSNano2022,16,4162−4174",787.0,,,AIE,ESIPT,10.1021/acsnano.1c10019,success,2,2,2_level.csv,30
1825.0,DMTPA-PDI3,CC1(C2=C3C(C(C)(C4=CC(C#CC5=CC(C(N(C(C6=CC=C78)=O)C(CCCCCC)CCCCCC)=O)=C6C8=C5C9=C%10C7=CC=C%11C(N(C(C(C=C9)=C%10%11)=O)C(CCCCCC)CCCCCC)=O)=CC%12=C4N3C%13=C1C=C(C=C%13C%12(C)C)C#CC%14=CC%15=C%16C(C(N(C%15=O)C(CCCCCC)CCCCCC)=O)=CC=C%17C%18=CC=C%19C(N(C(C%20=C%19C%18=C(C%14=C%17%16)C=C%20)=O)C(CCCCCC)CCCCCC)=O)C)CC(C#CC%21=CC%22=C%23C(C%24=CC=C%23C(N(C%22=O)C(CCCCCC)CCCCCC)=O)=C%21C%25=C%26C%24=CC=C%27C(N(C(C(C=C%25)=C%26%27)=O)C(CCCCCC)CCCCCC)=O)=C2)C,"Adv.Sci.2017,4,1700110",2696.0,,,AIE,TICT,10.1002/advs.201700110,success,2,2,2_level.csv,32
1827.0,TPE-BEP,COCCOCCOCCOCCOC(C=C1)=CC=C1/C(C2=CC=C(OCCOCCOCCOCCOC)C=C2)=C(C3=CC=C(/C=C/C4=CC=NC=C4)C=C3)C5=CC=C(/C=C/C6=CC=NC=C6)C=C5,"Biomater.Sci.,2021,9,4301-4307",951.478,,,AIE,ICT,10.1039/d1bm00044f,success,2,2,2_level.csv,33
1845.0,TPE-Ph-B,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=CC=C(/C=C6C(N(C)C(N(C)C/6=O)=O)=O)C=C5)C=C4)C=C1,"Chem.AsianJ.2019,14,871-876",634.247,,,AIE,TICT,10.1002/asia.201801660.,success,2,2,2_level.csv,35
1852.0,PASPy,CN(C)c3ccc(/N=C/c2ccc(c1cccnc1)cc2O)cc3,"MicrochemicalJournal2020,153,104503",317.0,,,AIE,ESIPT,10.1016/j.microc.2019.104503,success,2,2,2_level.csv,37
1853.0,PASPy-al,C=CC[n+]3cccc(c2ccc(/C=N/c1ccc(N(C)C)cc1)c(O)c2)c3.[Br-],"MicrochemicalJournal2020,153,104503",358.0,,,AIE,ESIPT,10.1016/j.microc.2019.104503,success,2,2,2_level.csv,38
1904.0,TPE-ETh-B,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=C(OCCO6)C6=C(/C=C7C(N(C)C(N(C)C7=O)=O)=O)S5)C=C4)C=C1,"Chem.AsianJ.2019,14,871-876",698.0,,,AIE,TICT,10.1002/asia.201801660,success,2,2,2_level.csv,48
1905.0,TPE-Se,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=CC=C(C6=CC=C(/C(C7=CC=CC=C7)=C(C8=CC=CC=C8)/C9=CC=CC=C9)C=C6)C%10=N[Se]N=C%105)C=C4)=CC=CC=C1,"ActaChim.Sinica2021,79,319-325",843.932,,,AIE,TICT,10.6023/A20100501,success,2,2,2_level.csv,49
1922.0,DCQTB,CC(C)(C)C1=C/C(C=C(/C=C/C2=CC(C(C)(C)CCN3C(C4)C)=C3C4=C2)O1)=C(C#N)/C#N,"TetrahedronLetters2019,60,1880–1884",425.0,,,AIE,TICT,10.1016/j.tetlet.2019.06.007,success,2,2,2_level.csv,51
