id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB
1106.0,THPSTPA,C1(N(C2=CC=C(C#CC3=CC=C([Si]4(C5=CC=CC=C5)C(C6=CC=CC=C6)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C4C9=CC=CC=C9)C=C3)C=C2)C%10=CC=C(C#CC%11=CC=C([Si]%12(C%13=CC=CC=C%13)C(C%14=CC=CC=C%14)=C(C%15=CC=CC=C%15)C(C%16=CC=CC=C%16)=C%12C%17=CC=CC=C%17)C=C%11)C=C%10)=CC=C(C#CC%18=CC=C([Si]%19(C%20=CC=CC=C%20)C(C%21=CC=CC=C%21)=C(C%22=CC=CC=C%22)C(C%23=CC=CC=C%23)=C%19C%24=CC=CC=C%24)C=C%18)C=C1,"Dyes and Pigments, 2011, 91, 258-263",1926.71,,,AIE,other,10.1016/j.dyepig.2011.03.006,failed
1735.0,CE-TPA,COc7ccc(N(c1ccccc1)c6ccc(/C=C/c5cc[n+](CC4=C(C(=O)O)N3C(=O)C(NC(=O)Cc2cccs2)C3SC4)cc5)cc6)cc7,"Chem. Commun. 2022, ASAP. ",864.092,,,AIE,TICT,10.1039/D2CC02230C,failed
1760.0,TPE-BPA,O=C(O[K])C1=NC(C(O[K])=O)=CC(OCCCCOC2=CC=C(/C(C3=CC=C(OCCCCOC4=CC(C(O[K])=O)=NC(C(O[K])=O)=C4)C=C3)=C(C5=CC=C(OCCCCOC6=CC(C(O[K])=O)=NC(C(O[K])=O)=C6)C=C5)/C7=CC=C(OCCCCOC8=CC(C(O[K])=O)=NC(C(O[K])=O)=C8)C=C7)C=C2)=C1,,1650.01,,,AIE,TICT,10.1002/adfm.201803370,failed
1761.0,PLL,CC(CCCCN)C(NC)=O,,30000.0,,,AIE,clusterluminescence,10.1002/adfm.201803370,failed
1762.0,TPE-(EO)4-L2,O=C(C1=CC(OCCOCCOCCOCCOC(C=C2)=CC=C2/C(C3=CC=CC=C3)=C(C4=CC=C(OCCOCCOCCOCCOC5=CC(C(O[K])=O)=NC(C(O[K])=O)=C5)C=C4)\C6=CC=CC=C6)=CC(C(O[K])=O)=N1)O[K],,1199.44,,,AIE,TICT,10.1021/acsanm.7b00050,failed
1765.0,TPE-BPA,O=C(C1=CC(OCCCCOC(C=C2)=CC=C2/C(C3=CC=C(OCCCCOC4=CC(C(O[K])=O)=NC(C(O[K])=O)=C4)C=C3)=C(C5=CC=C(OCCCCOC6=CC(C(O[K])=O)=NC(C(O[K])=O)=C6)C=C5)\C7=CC=C(OCCCCOC8=CC(C(O[K])=O)=NC(C(O[K])=O)=C8)C=C7)=CC(C(O[K])=O)=N1)O[K],,1650.01,,,AIE,TICT,10.1021/acsami.7b06306,failed
1780.0,TPP-2MPM,COC(C=C1)=CC=C1C2=C(C3=CC=C(C4=CC=C(OC)C=C4)C=C3)N=C(C5=CC=C(OC)C=C5)C(C6=CC=C(C7=CC=C(OC)C=C7)C=C6)=N2,"Chem.Sci.,2015,6,1932-1937",657.0,,,AIE,other,10.1039/C4SC03365E,failed
1788.0,TAA-4P,C1(C2=CC=CC=C2)=C(C3=CC=CC=C3)N=C(C=C(N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N6)C6=C7)C7=N1,"Chem.Sci.,2018,9,7829-7834",487.0,,,AIE,ESIPT,10.1039/C8SC02810A,failed
1791.0,TPP-4PTPA,C1(C(C=C2)=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C(C(C=C6)=CC=C6C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)N=C(C=C(N=C(C(C=C%10)=CC=C%10C%11=CC=C(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11)C(C(C=C%14)=CC=C%14C%15=CC=C(N(C%16=CC=CC=C%16)C%17=CC=CC=C%17)C=C%15)=N%18)C%18=C%19)C%19=N1,"Chem.Sci.,2018,9,7829-7834",1460.0,,,AIE,other,10.1039/C8SC02810A,failed
1798.0,2TPEVDPP,CCCCn%10c(/C=C/c4ccc(/C(=C(c1ccc(N(C)C)cc1)/c2ccc(N(C)C)cc2)c3ccccc3)cc4)c9c(=O)n(CCCC)c(/C=C/c8ccc(/C(=C(c5ccc(N(C)C)cc5)/c6ccc(N(C)C)cc6)c7ccccc7)cc8)c9c%10=O,"ACSNano2022,16,4162−4174",1132.633,,,AIE,other,10.1021/acsnano.1c10019,failed
